property_id,address,suburb,postcode,bedrooms,bathrooms,parking,land_size_sqm,sale_price,sale_date,property_type,sale_method,distance_to_cbd_km,agent_description_snippet,data_source,notes,land_size_missing,distance_to_cbd_missing,sale_date_missing
P0001,"103 Halcyon Avenue, Kellyville NSW 2155",Kellyville,2155,5,3,2,502.0,1521000,2026-07-05,House,,,,realestate.com.au,,False,True,False
P0002,"75 Aruma Avenue, Kellyville NSW 2155",Kellyville,2155,3,2,1,743.0,2915000,2026-04-13,House,,,,realestate.com.au,,False,True,False
P0003,"38 Chalet Road, Kellyville NSW 2155",Kellyville,2155,3,2,2,421.0,1652000,2026-06-21,House,,,,realestate.com.au,,False,True,False
P0004,"49 Rutherford Avenue, Kellyville NSW 2155",Kellyville,2155,3,4,2,845.0,2086000,2026-07-29,House,,,,realestate.com.au,,False,True,False
P0005,"108 Halcyon Avenue, Kellyville NSW 2155",Kellyville,2155,4,2,2,420.0,2240000,2026-04-04,House,,,,realestate.com.au,,False,True,False
P0006,"18 Aruma Avenue, Kellyville NSW 2155",Kellyville,2155,5,2,2,745.0,1964000,2026-05-11,House,,,,realestate.com.au,,False,True,False
P0007,"84 Skye Court, Kellyville NSW 2155",Kellyville,2155,4,2,2,434.0,1605000,2026-06-29,House,,,,realestate.com.au,,False,True,False
P0008,"36 Avril Court, Kellyville NSW 2155",Kellyville,2155,4,2,2,505.0,3195000,2026-07-26,House,,,,realestate.com.au,,False,True,False
P0009,"93 Avril Court, Kellyville NSW 2155",Kellyville,2155,4,4,2,669.0,2215000,2026-09-03,House,,,,realestate.com.au,,False,True,False
P0010,"72 Womboyne Avenue, Kellyville NSW 2155",Kellyville,2155,3,2,2,607.0,3172000,2026-06-28,House,,,,realestate.com.au,,False,True,False
P0011,"21 Buckeridge Place, Kellyville NSW 2155",Kellyville,2155,4,2,2,421.0,1928000,2026-08-30,House,,,,realestate.com.au,,False,True,False
P0012,"72 Avril Court, Kellyville NSW 2155",Kellyville,2155,4,2,2,631.0,2112000,2026-07-02,House,,,,realestate.com.au,,False,True,False
P0013,"89 Avril Court, Kellyville NSW 2155",Kellyville,2155,4,3,2,652.0,2798000,2026-06-21,House,,,,realestate.com.au,,False,True,False
P0014,"75 Gormon Avenue, Kellyville NSW 2155",Kellyville,2155,4,2,2,715.0,1919000,2026-06-18,House,,,,realestate.com.au,,False,True,False
P0015,"98 Proteus Place, Kellyville NSW 2155",Kellyville,2155,4,2,2,846.0,2607000,2026-09-17,House,,,,realestate.com.au,,False,True,False
P0016,"88 Aruma Avenue, Kellyville NSW 2155",Kellyville,2155,3,2,2,670.0,2509000,2026-08-01,House,,,,realestate.com.au,,False,True,False
P0017,"100 Valenti Crescent, Kellyville NSW 2155",Kellyville,2155,4,2,2,643.0,1589000,2026-08-25,House,,,,realestate.com.au,,False,True,False
P0018,"24 Meadow Place, Kellyville NSW 2155",Kellyville,2155,4,2,2,521.0,2911000,2026-04-20,House,,,,realestate.com.au,,False,True,False
